id	Sequence	Taxon	Consensus	NCS3-16S_KXBC_Fwd_04--KXBC_Rev_18
#q2:types	categorical	categorical	categorical	numeric
129037ee67db7c458c8621bbfe3a5e99		d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia ilealis	1.0	58
659acf67888b332944c1d7fd081eaefa	Unassigned	1.0	307
d97b845c8c18a275b7f3824469bcf039		d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes dispar	1.0	106
0a4a65fa27514181d94140679673d19d	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	1.0	160
8c36b21927feac20ec729ed29b1dab1f		d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus vaginalis	1.0	17
1eeddea02e0b267b1044a7056a452efc		d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus faecavium	1.0	60
045dd5291a880964ad599ece6908c5c4		d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter sp900120155	1.0	40
0a274805ba523ae173268024184d89f6		d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia ilealis	1.0	188
f926607473c54f14a0008639bbec7ece		d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus vaginalis	1.0	14
fa7182961c30fda3f7d0b3c4a289d574		d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus intestinipullorum	1.0	40
f9c634efb668f0978f87190c2b07d720		d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia ilealis	1.0	90
d979194e61dea623bcb3336f9f082412	Unassigned	1.0	69

