id	Sequence	Taxon	Consensus	NCG1-16S_KXBC_Fwd_03--KXBC_Rev_18
#q2:types	categorical	categorical	categorical	numeric
96144ee5f019782b82aec765928b4650		d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus aviarius	1.0	315
129037ee67db7c458c8621bbfe3a5e99		d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia ilealis	1.0	306
1f88b50fd9c66867680b4cb089b46025		d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus aviarius	1.0	217
d9609c83b28d3b73255100ffecd19ae8		d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus aviarius_B	1.0	107
756bd11142657e9b6cacbf2d15d6c997	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus aviarius_C	1.0	18
6805edd758814708f846943d954edfef		d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus aviarius_B	1.0	126
63ba8ad688386de99f9104682090dec1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus aviarius_C	1.0	103
1eeddea02e0b267b1044a7056a452efc	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus faecavium	1.0	142
659acf67888b332944c1d7fd081eaefaUnassigned	1.0	110
bd4561f47c30bf41599c8a730707004f	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus aviarius_C	1.0	158
cb9f3ecdc1fc43ae0ddec94131820d72		d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Thermophilibacter;s__Thermophilibacter provencensis	0.75	12
5456e79714b811cc685228a0aca37c0e	
